এইতো আমি রাস্তায়!	দুঃখিত।
পাশ দিয়ে হেঁটে যাচ্ছিলাম। 	আপনি কি আপনার আগের রূপে ফেরত যেতে চান?
 ডাক্তার সাহেব! একবার পরে দেখবে নাকি? 	কেমন লাগছে তোমার? -
দারুণ। আপনি ওনাকে চেনেন নাকি?	 ডাক্তার সাহেব, আমাকে একটু সময় দেয়া যাবে?
আমি সেহ-হিকে কতটা ভালোবাসতাম, আপনি এখন জানেন, তাই না?	 কিন্তু আমার এখনো বুঝে আসছে না।
ও কীভাবে এমন কাজ করতে পারলো?	 আমি নাকি ওকে অপছন্দ করতে পারি... ও কীভাবে নিজের জন্মগত চেহারার পরিবর্তন করতে পারলো? 
নিশ্চয়ই আপনাকে অনেক ভালোবাসে। 	কিন্তু তবুও, আমি এর কোনো উত্তর খুঁজে পাচ্ছি না। 
ডাক্তার সাহেব, আপনি জানেন সেহ-হি কত সুন্দর ছিলো। 	আর কত লাবণ্যময়ী। 
আপনি নিশ্চয়ই ওর আসল চেহারা দেখেছেন। 	অবশ্যই দেখেছি। আর তাই... আমি ওনাকে ভয়ংকর একটা সার্জারি দেখাই,যাতে নিজের মনোভাব পরিবর্তন করে।
 আপনার আরো চেষ্টা করা দরকার ছিলো। 	আমি দুঃখিত। 
আপনি ভেবেছেন ক্ষমা চাইলে এখন সবকিছু ঠিক হয়ে যাবে এটাই কি আপনার মনে হচ্ছে?	 আপনি কি এর জন্য আমাকে দোষারোপ করতে চাচ্ছেন? 
আপনি আমাকে কেন দোষ দিচ্ছেন?	 এই জন্য যে আমি টাকার কারণে এসব করেছি?
আমি যেটা বুঝাতে চাচ্ছি আপনি কীভাবে এত সহজে একজন মানুষের চেহারা কেটে ফেলেন? 	কেটে ফেলি মানে? 
মুখ সামলে কথা বলুন! 	ওনার নিজের ইচ্ছায় এসব করেছে, দোষ দিতে হলে ওনাকে দিন। 
কী বললি, বেজন্মার বাচ্চা?		কীভাবে তুই একজন মানুষের চেহারা কেটে ফেলতে পারিস? 
হাসপাতাল গুলোকে কি তোরা কসাই খানা বানিয়ে ফেললি নাকি? 	আমার সেহ-হিকে কি তোর কাছে গরু ছাগল মনে হয়েছে? 
নিজেকে কী মনে করিস?	 আমার ঘুষি খেয়ে একটু  সার্জারি করাতে চাস?
মার আমাকে! মার না! কুত্তার বাচ্চা।  	শালা কুত্তার বাচ্চা! আমি একজন ডাক্তার! 
টাকার জন্য এই পেশা বেছে নিইনি! 	মুখ সামলে কথা বলবি, বানচোত! আমি তোর মুখটা এমন ভাবে সাইজ করতে পারি যে কেউ চিনতেও পারবে না। 
দেখতে চাস  কাটাকাটি করা আসলে কী? 	শালা মাদারচোদ।  ডাক্তার সাহেব, ডাক্তার সাহেব। 
প্লিজ, থামুন, ডাক্তার সাহেব। 	বলুন আমি কী করতে পারি। 
কী করতে পারি আমি বলুন না জি-উ! জি-উ! জি-উ!	ভেবেছিলাম আপনাকে  জানানো উচিত। 
ওনার সার্জারির  একমাস হয়ে গেছে। 	 হয়তো এখনও ঘা শুঁকাচ্ছে। 
জি-উ আপনাকে  অনেক ভালোবাসেন। 	পাঁচ মাসের আগেই উনি আপনার সামনে  এক ভিন্ন চেহারা নিয়ে উপস্থিত হবেন ওনার জন্যঅপেক্ষা করুন। 
আপনি তো  পানির ছবি তুলছেন। 	আমাকে ভয় করে না আপনার না, করে না। 
আমার পুরানো ছবি দেখতে চান? 	না। কিন্তু আমি দেখাতে চাই। তাহলে, দেখাতে পারবেন?
মাফ করবেন।  সত্যি বলছি এখানে আগে ছিল। 	ব্যাপারটা খুব খারাপ। 
আমি সত্যিই সুদর্শন ছিলাম। আশাকরি আপনি খুশি। 	আমার নতুন মুখ দেখতে চাইলে , পাঁচ মাস পর আবার এখানে ফিরে আসবেন। 
স্বাগতম এখানে বসতে পারি? 	আমার ব্যাপারে  কৌতুহল জাগছে না? 
 হ্যাঁ জাগছে। -	কোন ব্যাপারে? 	
যেমন কে আপনি। 	অনুমান করার চেষ্টা করুন কে আমি। 
আপনার হাতটা ধরতে পারি? 	আমার হাত গরম, তাই না? 
আপনার হাত অনেক বড়। 	এক সেকেন্ড। দাঁড়ান। 
কে আপনি? 		আমি নিশ্চয়ই  ভুল জায়গায় এসে পড়েছি। 
আমি দুঃখিত। 	এক কাপ কফি হবে? 
মাফ করবেন। 	 ভেতরে আসুন।
ছবিটা ভাস্কর্য পার্কে তুলেছেন, তাই না? 	হ্যাঁ, ওখানে গেছেন কখনো? 
আমিও ঐ ভাষ্কর্যে আমার  গার্লফ্রেন্ডের সাথে ছবি তুলেছিলাম। 	কী হলো? পুরানো স্মৃতি মনে করছিলাম। 
আমার হাত কেমন মনে হচ্ছে? 	গরম। কী মনে হচ্ছে আপনি আমার হাত ধরে আছেন? 
নাকি আমি আপনার হাত ধরে আছি? 	আপনি আমার হাত ধরে আছেন।
আমাদের হাতের তালুগুলো একে অপরকে স্পর্শ করছে কি না? 	করছে না। কেন?
 আপনি কিছু পরীক্ষা করছেন, তাই না? 	না, এমনিই। 
আপনি বাস্তবে দেখতে আরও সুন্দর।	 স্বাগতম। এখানে বসতে পারি? 
শেষ কবে কেঁদেছিলেন? 	আজ সকালে। 
কোনো ছেলের কারণে? 	শেষ কবে হেসেছিলেন?
 সে অনেক দিন হয়ে গেল। 	আমার জন্য হাসুন তো। 
একটু আওয়াজ করুন। 	আরও জোরে। 
কেমন মনে হচ্ছে?	আমার হাতের সাথে খাপে খাপ মিলে গেছে। 
এবার কিস করার সময়, তাই না? 	কী ছিল? কে ওখানে? 
আশেপাশে এত অদ্ভুত লোক। 	আমার বাসায় যাবে? 
ভেতরে আসো। 	আগে মুখহাত ধুয়ে নাও।
- কোথায় যাচ্ছ?	 - আমাকে যেতে দাও! 
যেতে দাও! 	আমার এখনো শেষ হয়নি।
 এখনই যেতে পারো না। 	আমাকে যেতে দাও! 
আমার বাসায় কোনো  কারণে এসেছিলে, তাই না? 	হঠাৎ মন বদলে ফেললে কেন? 
আমি যাকে খুঁজছি তুমি সে নও। 	ধুর ছাই। আজ কী হচ্ছে এসব?
আমি বেশ কয়েকদিন ধরে আপনার অপেক্ষা করছি। 	ভেবেছিলাম আসবেন না। 
কেমন আছেন? 	ভালো। আমার নতুন মুখটা  কেমন হয়েছে? 
আমার পছন্দ হয়েছে। 	 আমার তোলা ছবিগুলো  আপনাকে দেখাতে চাই। 
আমার স্টুডিওতে যাবেন?		কখন থেকে আমার ছবি তুলছেন? 
আপনার সাথে  দেখা হবার পর থেকেই। 	 আপনি কি চিন্তিত? 
কে আপনি? 		আমি কে  সেটা বড় কথা নয়? 
কে তুমি? কে তুমি? 	জি-উ? জি-উ। জি-উ। আমি জি-উ না।
আমার নাম জুং-উ। 	সরুন আমার রাস্তা থেকে! 
পাগল নাকি! 		ধুর ছাই তুমি আমাকে চেনো, তাই না? 
আমি সে-হি কে আপনি? 		আমাকে মনে পড়ছে না? -
ওকে চেনো তুমি? - 	না তো।
ও কে তাহলে?	এখানে এসে বসেছিল ব্যস। 
তাহলে তোমার সাথে কথা বললো কেন? 	বললাম তো ও এসে বসেছিল ব্যস।
 কে ও? জানি না। 	বললাম তো ও এসে বসেছিল ব্যস। 
কোথায় তুমি, জি-উ?	 জি-উ, সামনে আসো!
লুকোচুরি বন্ধ করে আমার সামনে আসো। 	এই জুং জি-উ! 
কোথায় তুমি? 	আমি জানি তুমি আমাকে দেখছ!
 কোথায় তুমি, জি-উ? 	কেন আমার সাথে এমন করছ? 
আমি শুধুই  তোমাকে ভালোবেসেছি! 	জি-উ, জি-উ! জি-উ  জি-উ। হ্যালো?
 ৯১১?  এখানে একটা অ্যাক্সিডেট হয়েছে! জলদি আসুন!	আমি মাডুতে আছি।
 জলদি আসুন! 	বলেছি মাডু স্টেশন! 
ধুর, একজন গাড়িচাপা পড়েছে! 	আসুন! পুলিশকে ডাকুন! 
উনি আমার সামনে এসে লাফ দেন।	 আচ্ছা। আপু, আপনি ওনাকে চেনেন? 
উনি আমার সামনে এসে লাফ দেন।	 সেহ-হি! আপনার গায়ে রক্ত কেন? 
কী হয়েছে, সেহ-হি?	 আপনাকে ক্লান্ত মনে হচ্ছে। 
ব্যাপারটা শুরু থেকেই ভুল ছিল। 	নিজেকে একেবারে  পাল্টে ফেলতে চান? 
সামনে তাকান। 	নড়বেন না। 
আমি রাস্তাতেই আছি!	মাফ করবেন।  
আমি এক্ষুনি ঠিক করিয়ে দিচ্ছি। 	একটু দাঁড়ান এখানে। 
