এইতো আমি রাস্তায়!	দুঃখিত।
স্যান্টা উডি, গ্রামবাসী,বাবা রেইনডিয়ার, বাচ্চা রেইনডিয়ার আর ভয়ানক কিটিসরাস!	শুদ্ধ হৃদয়ের সাথে দুনিয়াটাকে অভিবাদন জানাও।
মনে রেখো, ভদ্র হয়ে থাকবে।	প্লিজ আর ধন্যবাদ।
হেই! উপরে যাও, বনি।	মেসনকে খুঁজে পেতে কষ্ট হবে না।
মেসন! 	মেসন?
বাপরে! ওহ, ডাক।	বাপরে, আরেকটু হলেই গেছিলাম!
উম...	আমার সাথে মজা হচ্ছে নাকি।
ও ক্রিসমাসের জন্যে একটা অপটিমাম এক্স পেয়েছে।	 আমি জানতাম না মেসনের ভিডিও গেম পছন্দ।
-না! কী?	দুর্ভাগ্যের বিষয়, ওটা নিয়ন্ত্রণ করা আমার সীমাবদ্ধতার বাইরে।
সীমাবদ্ধতা হলো সেই হাতকড়া যা আমরা নিজেরাই নিজেদের হাতেই বেঁধে ফেলি।	মেসন!
ওহ। হেই, বনি। খাইছে!	একবার এসে দেখে যাও।
আসো। আচ্ছা। 	মরছি রে! মরছি রে! 
কেউ মোরে বাঁচাও! 	সবাই ঠিক আছো তো? 
মনে হচ্ছে শেষ পর্যন্ত আমরা খেলতে পারবো না বেশ, ওকে কি দোষ দেওয়া যায়? 		কেউই অপটিমাম এক্স খেলা শুরু করলে ছাড়তে পারে না।
বাকিরা কোথায়? 	সক এপ আর ঐ ছোট্ট কুস্তি পালোয়ানরা আর ইকো ফোর্স গ্যাং কোথায়? 
মনে হচ্ছে আমাদের পুরনো বন্ধুদেরকে খোঁজার জন্য আমাদের হাতে পুরো বিকেল সময়টা আছে। 	অথবা হয়তো নতুনদেরকে খোঁজার জন্য।
বাহ। মেসন এই ক্রিসমাসে আসলেই মালামাল হয়ে গেছে।	এখানকার কেউই ভালো না। 
আমরা নতুন কিছু খেলনার দেখা পাবো! 	আমি একই সাথে উত্তেজিত আর আতঙ্কিত। 
চরম লাগছে। 	ওহ!
হেই! - ওহ! এখানে, বাবু। 		এখানে আসো, ছোটকু।
ট্রিক্সি! - চলো, বন্ধুরা। 	সবাইকে একসাথে থাকতে হবে। 
হেই, আস্তে চলো, বন্ধু। 	তুমি কোথায় যাচ্ছো? -
ট্রিক্সি! - হেই! ট্রিক্সি! 	বন্ধুরা, আজকের খেলার দিনটা অনেক চমকপ্রদ হবে বলে মনে হচ্ছে।
একটা সম্পূর্ণ সেট, মাত্রই বক্স থেকে বের করা হয়েছে। 		কেউ আছেন? -
হ্যালো? 	হেই। অনুপ্রবেশ ঠেকাতে মোশন-অ্যাক্টিভেটেড রুম প্রহরী। 
দারুণ। বাহ! 		ওদেরকে দেখো। 
মনে হচ্ছে একেকটা উন্নত ডাইনোসর। 		ছোট বর্ম, আর ছোট ছোট লাল বল্লম।
- আস্তে আস্তে, ছোট্ট কুকুর। দ্রুত কথা বলো, বোকা বহিরাগতরা, নাহলে আমার ব্যাটল ব্লেডের মুখোমুখি হও। 		ওওহ। আমরা হলাম হিংস্র যোদ্ধা, বিজয়লাভের অসীম তৃষ্ণা মেটানোর জন্য আমরা সর্বদা ব্যাকুল। 
ওওহ, সুন্দর। 	সবাই নিজের চরিত্র বজায় রাখতে দৃঢ়প্রতিজ্ঞাবদ্ধ। 
কার আগমন ঘটেছে? 	যা ওর সাথে কথা বল, শেরিফ আহ, বেশ, হাই, স্যার। 
আমার নাম উডি আর আহ কেউ তো পাত্তাই দিচ্ছে না। 		এরা আবার কোন ধরনের ভয়ংকর ডাইনোসর?
- ওহ। - ওহ। শুভ কামনা।আমি হলাম রেপটিলাস ম্যাক্সিমাস। 	আর আমি উম আমার নাম ট্রিক্সি। 	
শুধু ট্রিক্সি। 		তুমি তো আমাদের মহিলাদের মতো না। 
ওহ, তুমি নিজেই অনেকটা অনুপম এক আদর্শ। 	এখন আমরা জানি ওরা ওদের জীবাশ্ম কোথায় রাখে।
আগন্তুকেরা। ক্ষমার যোগ্য নয় এমন বহির্জগত থেকে। 		আমরা অনেক দূর থেকে এসেছি। 
অনেক দূরের বনির আস্তানা থেকে। 		শশশ! - হমম - 
তোমাদের উপহার রাখো আর এখান থেকে কেটে পড়ো। 	আমাদের সুমহান শহরে কি ডাইনোসরদের অভ্যর্থনা জানানো হয় না, বুদ্ধিমান ক্লেরিক? আচ্ছা, আচ্ছা। 
ওদেরকে স্বাগতম অনুভব করাও। 	ওদের অস্ত্রশস্ত্রের ঘাটতি আমার কাছে বিরক্তিকর লাগছে। 
অস্ত্রের কারখানায় নিয়ে চলো! - 	বেশ, আমার মনে হয় আমার পিছু হটা উচিত।
আমিও তোমার সাথেও যাবো। 	পার্কে একদিনে বহুত শেক্সপিয়ার পড়ে ফেলেছি।
নিজের খেয়াল রেখো। পরে দেখা হবে। 	ব্যাটেলোপলিসে স্বাগতম।  
ওহ, খুব সুন্দর। চমৎকার। 		এখানে দিয়ে গুঁতো, ওখানে দিয়ে ধাক্কা। 
এখন যাও আর জাঁকালো হয়ে ওঠো। 	রে-গেন। এই ডাইনোসর দেবীকে তোমার সর্বোত্তম পোশাকে ঢেকে দিয়ে অনুগ্রহ করো। 
মমম, দেখে তো ভালো লাগছে। 	ওহ, নিজের দিকে দেখো।
 একটি কঠিন একশিলার ক্যানভাস যাকে সুশোভিত করতে হবে। 	বেশি কথা বলে।
 তুমি এত সূক্ষ্ম।	 ওহ, হ্যাঁ। আমি ছোট বা বড় যেকোনো ব্যাটলসরকে আরো সুন্দর আর সূক্ষ্ম করে তুলতে খুবই দক্ষ। ঊঊহ!
- ঠিক আছে, আমি ওটা নিবো। -	 ওহ, হ্যাঁ, অবশ্যই। - 
আর ওটা। 		প্লাজমা কোরের শিরস্ত্রান। 
বেশ, তুমি কখনো বুঝবে না  ধাতব হাতমোজা। -	চরম। খুবই সুন্দর। 
পিঠের সেনসয়েড প্লেট।	আমার জন্যে? -
ওহ, অবশ্যই। 	তোমার কাছে যুদ্ধ করার চশমাও আছে? -
জিজ্ঞেস করা লাগে নাকি? 		ওটাও পরে দেখতে হয়, ছোট্ট বন্ধু।
 আমি কি একবারও উল্লেখ করেছি যে আমি এখানে কত অসাধারণ সময় কাটাচ্ছি?		তোমার চেহারার শিং দেখেই তা বোঝা যাচ্ছে। 
আহ, তাহলে আমার পালা কখন আসবে? 	আমি তোমার কথা ভুলে যাইনি, ভাই। 
এটা দুর্দান্ত! 	আমার জন্য প্রস্তুত? 
বেশ? 	তোমার কী মনে হয়? 
এলডাররা এই ব্যাটলসরকে পূর্ণ এবং আনন্দজনক মর্যাদার সাথে পর্যবেক্ষণ করবে। 		আমি যা ভেবেছিলাম একদম তা-ই বললে। 
হেই, ট্রিক্সি। ট্রিক্সি! হা! 	কে এখন ভয়ানক হিংস্র ডাইনোসর?
আল্টিমেট ডাইনোসর। 	আসো। 
ব্যাটেলোপলিস অপেক্ষায় আছে। 	এই সেটটা চমৎকার।
আমি এর সাথে খাপ খাইয়ে নিতে পারতাম। 	আরে তোমার পেশিগুলো দেখি তো। 
তুমি তো একটা মুষ্টিযোদ্ধা, তাই না, ছোড়া? 	প্রাগৈতিহাসিক দালান, ডাইনোসর গাড়ি স্বাভাবিক জীবনযাপন করতে যা দরকার আরকি। 
এটা আবার কী?	এ হলো ড্রিম এলডারদের ট্রাইয়াসিক টাওয়ার যার মাধ্যমে অন্য মাত্রা থেকে দূরবর্তী প্রাণীরা মহাজাগতিক জ্ঞান প্রেরণ করে। 
আহ, আমাদের ঘরে, বনি শুধু সারা রুম জড়ে হাস্যকর আওয়াজে চেঁচামেচি করে। 	আর এইযে, ভলক্যানো কমান্ড বেস।
আমার রাজ্য। 	সবারই নিজের মাথার আকৃতির একটা বাড়ি থাকার দরকার। 
ভালো করে লড়াই কর, ভাই। 	সর্বোচ্চ শক্তি আর মর্যাদার সাথে। 
প্রিকলপ্যান্টস ঠিক বলেছিল। 	সবারই ব্যাটেলসর হওয়া উচিত। 
তোমার প্রিকলি-প্যান্টস একজন জ্ঞানী ভবিষ্যদ্বক্তা।	যুদ্ধই আমাদের কাছে সবকিছু। 
আমাদের অস্তিত্ব। 	আমাদের উত্তরাধিকার।
অনেক আগে এক রাজ্যের হয় উত্থান।	রহস্যের চাদরে মোড়ানো এক প্রহেলিকা এঁকে শত্রুর কাছে হারিনি, রেখেছি মান।
ইতিহাসের শুরুরও আগে থেকে ইতিহাস।		ব্যাটলসরস ব্যাটলসরস।ব্যাটলসরস।
তোমাদের দেখি আবার থিম সং আছে? 	মনে হচ্ছে তোমাদের কাছে সবকিছুই আছে। 
তোমাকে বোঝা মুশকিল, ট্রিক্সি।	 বেশ, কাজের ক্ষেত্রে, আমি একটা মূর্তিমান আক্রমণাত্মক চরিত্র। 
এখন তুমি তোমার জগত সম্পর্কে কিছু বলো। 	ওহ, এর কোনো অংশই ওটার মতো না। 
বাজি ধরে বলতে পারি যে তোমরা নিশ্চয়ই অনেক অসাধারণ খেলার সময় পাও। 	খেলার সময়? 
কিছু বুঝলাম না। 	ওহ, বুঝো না, খেলা। 
যখন তুমি নিজেকে একটা শিশুর কাছে হস্তান্তর করবে। 	হস্তান্তর করার মানে হলো আত্মসমর্পণ। 
একটা ব্যাটলসর কখনোই আত্মসমর্পণ করে না। 	এত সিরিয়াস। 
ট্রিক্সি, তুমি আমার মনে এমন সব প্রশ্নের সৃষ্টি করেছ 	যেগুলো উত্তর আমি জানতে চাই।
 যুদ্ধের সময়! যুদ্ধের সময়!		 যুদ্ধের সময়! যুদ্ধের সময়! 
ওহ, এটা আবার কী? 		মহান ড্রিম এলডার আমাদেরকে অ্যারেনা অফ
উওতে যাওয়ার জন্য ইশারা দিচ্ছেন। 	ঠিক আছে। 
রেপটিলাস! 		রেপটিলাস! ইয়ে, 
তোমায় ভালোবাসি! 	বেশ, উৎসবমুখর পরিবেশ দেখছি। 
যুদ্ধ শুরু করা হোক। 	যা উপরে উঠ। 
সক এপ! পেঙ্গো! 	ফন্টলেরয় ওহ, এতে মজা হবে। 
আমি তোমাদেরকে একটা ধাক্কা দিবো, 		তারপর তোমরা আমাকে আঘাত করার ভান করবে, তারপর...
তোমরা তো কখনো স্থির থাকো না- অস্থির! 	অস্থির! অস্থির! 
তুমি এরকম করছো কেন? 		আইজকাই কিয়ামত। 
হেই! - ট্রিক্সি? - 	ট্রিক্সি? - কী? 
ট্রিক্সি, এই ব্যাটলসরগুলো খেলছে না। 	ওদের সাথে কেউ কখনো খেলেনি। 
ওরা এটাও জানে না যে ওরা খেলনা! 		অদ্ভুত, তাই না? না! 
তুমি একটা রং করার পেনসিল এনেছো?		বাজ-বাজ-বাজ লাইটইয়ার এসেছে উদ্ধার করার জন্য!
 ব্লাস্ট। - 	পিছে সরে যা, তুই... - 
কী? 	শালা বজ্জাত! 
অভিশাও! 	গোলিয়াথনকে মুক্ত করে দাও। 
মরছি, মরছি, মরছি! ওহ!	 আমার বন্ধুদেরকে বের করো, শালা, শালা... যা সন্দেহ করেছিলাম। 
ও বাধ্যতার চিহ্ন বহন করে। 	কী? এটা ভেবেছিলাম বোধ হয় তোমাকে বুঝতে পেরেছি। 
আমিও একই জিনিস ভাবছিলাম। 	ও এই জাতির চরম শত্রু।
রে-গন। সাপ্লিকেটর। 	সাপ্লিকেটর? 
নামটা জুতসই বলে মনে হলো না।  	এইরকম গালির পক্ষে আমি নাই। 
রেক্স, তোমার মাথা খারাপ হয়ে গেলো নাকি? 	আমি দুঃখিত। 
আমি নিজেকে নিয়ন্ত্রণ করতে পারছি না।		পালাবার পথ নেই, বন-ইয়ে আস্তানার ট্রিক্সি। 
বনি! - পালাও, ট্রিক্সি! - 	বনিকে ধরো! রেপটিলাস। 
ওকে থামাও। 		হাহ কী? 
হমম! রোবট। 	নির্দেশ মানো। 
ওহ! আহ! 		ওহ! ইউউ! - 
রেক্স। - রেক্স। 	আমার কিছু করার নেই!
উডি। - কী? 		হেই! হেই, ওটা তো মেসন আর বনি। 
ওহ, বুঝতে পেরেছি। 	তুমি খুশি কারণ মেসন অপটিমাম এক্স পেয়েছে।
যখন ও ওখানে খেলে। 	তখন এখানে আমার রাজত্ব চলে।
 আমার ব্যাটলসরদের খেলে কোনো লাভ নেই। 	ওদের যা দরকার সবই ওদের কাছে আছে, ওদের এই অজ্ঞতায় এরা সন্তুষ্ট। 
অজ্ঞতা আবার কী? 	তুমি তো অনেক অত্যাচারী ছোট ব্যস্ত শাসক। 
তাও আবার ক্রিসমাসের দুই দিনের মধ্যেই।	কা-রিস্ট-মাস? 
যে আনন্দ তুমি অন্যকে দাও সেই আনন্দ তোমার কাছেই ফিরে আসে। 	ও। - তোমাদের সবাইকে খাদে ফেলা হবে। 
খাদ খাদ। 	আমাকে এই জিনিসটা বন্ধ করতে হবে। -
আরে বন্ধু। 	আমাদেরকে ছেড়ে দে। -
রেক্স, সাপ্লিকেটরটাকে আটকে ফেল।	দুঃখিত। আমি দুঃখিত। 
ওহ, খোদা। - 	না। রেপটিলাস। 
তুমি যেরকম মনে করো দুনিয়াটা তার চেয়ে অনেক বড়। 	তুমি আসলে কে তা আমাকে দেখাতে দাও। 
কিন্তু আমি একটা ব্যাটলসর। 	তুমি এর চেয়েও অনেক বেশি কিছু হতে পারো।
আর এটা তুমিও জানো তোর দুই টাকার পাইপ ফেলে দে। 	রেপটিলাস, তোমার শিশুই এটা বেছে  নেয় যে তুমি কী হবে। 
তুমি হতে পারো ডাইনোসর, 	অথবা একটা বাচ্চা রেইনডিয়ার অথবা এমন কিছু যা তুমি কখনো ভাবতেও পারবে না।
তোমার শিশুর পাশে থাকাটাই হলো আসল কথা। 	আসল কথা হলো... আত্মসমর্পণ। হাহ? - 
বাসের গ্যাস শেষ হয়ে গেছে। -	ধুর ছাই, পাওয়ার বন্ধ হয়ে গেছে। 
ওহ, হ্যালো। 		তুমি কি হারিয়ে গেছো? 
আসো তোমাকে আমার ইগলু দেখাই। 		আমরা এর ভেতরে মেরু ভাল্লুকের সাথে আর স্যালাম্যান্ডারদের সাথে থাকতে পারি যতক্ষণ না তারা
আমাদেরকে খুঁজে বের করতে পারে। 	দেখো কী কী আছে এখানে। 
আমাদের কাছ আছে হ্যামবার্গার, 	প্যাসগেটি, প্যানকেক, চকোলেটি দুধ, 
চুইংগামের কেঁচো - 	ওহ, ও কোন গ্রহ থেকে এসেছে?
- নেপচুন! আর নাহলে ফ্লোরিডা। -	 মরছি! মরছি! মরছি! 
আমরা জরুরি অবস্থায় পার্টি প্ল্যানেটে অবতরণ করেছি। 	সব জায়গায় এলিয়েন। দাঁড়াও। 
আমার বাচ্চা রেইনডিয়ার কই? 	এইতো এখানে। ও বলছে, "পার্টির পোশাক পরে নাও।" 
দেখো, বাজ, আমি একটা মেরুদণ্ডহীন মুরগি।	একটু নাচানাচি করলে কেমন হয়, ওয়ার্মি আংকেল? 
জানিনা কেমন হয়। 	ও অনেক আদরণীয়। 
বুপ! বুপ! বিপ! বপ! আসো, বিশাল-দানব, কিছুক্ষণ মারামারি করা যাক। 	অনেক চমৎকার ছিল। 
হ্যাঁ ছিল, তাই না? 	বনিকে কাছে পেতে আসলেই খুব ভালো লাগে। 
চলো ওকে আবার পরের সপ্তাহে বাসায় ডাকি। 	তো, বৃহস্পতিবারে ৩৩০ এর দিকে হলে কেমন হয়?
বনি! - খেতে আসো, সোনা। 	বাই, খেলনারা। 
হুউউ-হু! 	তো, আজকের খেলার দিনটা কেমন ছিল? 
ওহ, জানোই তো, সাধারণ জরুরি অবস্থায় অবতরণ। 	প্রতিদ্বন্দ্বী টিকটিকির মতো লোক, হাতাহাতি পর্যায়ের মারামারি।
আর আমি ছিলাম নির্বোধ, স্বয়ংক্রিয় গাছ কাটার খেলনা। -	বেশ, নতুন কিছু তো হতে পরেছ। 
তোমার কেমন হয়েছে, ট্রিক্সি? 	শেষ পর্যন্ত যে চরিত্র তোমাকে মানায় সেটা পেয়েছ তো? 
 গবলিন পরি, ভাঁড়ওয়ালা ভূত হেই, হেই! আস্তে আস্তে!	নাচতে থাকা রানি, একটা বাচ্চা রেইনডিয়ার তোমরা জানোই তো। 
আমি হলাম বনির ডাইনোসর। 	আর বনির ডাইনোসর যেকোনো কিছু হতে পারবে। 
যে উপহারগুলো পেয়েছ তার জন্য কৃতজ্ঞ থাকো।	এগুলো তোমার চারপাশেই ছড়িয়ে আছে। 
অওও। বিদায়, বন-ইয়ে আস্তানার ট্রিক্সি। 		তোমার ফিরে আসার মুহূর্তে আমার হৃদয় জ্বলজ্বল করবে। 
১৯৭৯ সালের ২৬ অক্টোবরে প্রেসিডেন্টের গুপ্তহত্যা হয়।	যদিও কেসিআইএ এর চিফদের কাহিনীর উপর তৈরি
যা ধারাবাহিকভাবে  ডং-এ ইলবো পত্রিকায় প্রকাশিত হয়েছিল	১৯৯০ সালের শুরু থেকে আগামী ২৬ মাস পর্যন্ত
নির্দিষ্ট কিছু বিষয়ে আমরা  সৃজনশীল সুবিধা নিয়েছি।	২৬ অক্টোবর,  ১৯৭৯,  প্রেসিডেন্সিয়াল সেফ হাউস"বি উইং যাচ্ছে।
ভিআইপি আর দুইটা দূতের গাড়ি নিশ্চিত করা গেছে।	 যখন দেশজুড়ে বিশৃঙ্খলার সৃষ্টি হবে,  আমরা সবাই মরব।
নিজেদের প্রস্তুত করো।	প্রসিডেন্টকেও অন্তর্ভুক্ত করবেন?
আমরা তাকে আজ রাতেই মারব।	১৯৬১ সালের ১৬ মে,  এক আর্মি সামরিক অভ্যুত্থানের রচনা করে।
তৃতীয় প্রজাতন্ত্র প্রতিষ্ঠিত হবার সাথে	কোরিয়ার প্রথম ইন্টেলিজেন্স এজেন্সি গড়ে উঠে।
প্রেসিডেন্ট পার্কের  ১৮ বছরের শাসন নিশ্চিত করতে	কোরিয়ান সেন্ট্রাল ইন্টেলিজেন্স এজেন্সিনিজের সর্বোচ্চ ক্ষমতার ব্যবহার করে।
নামসান,	 সিউলে অবস্থিত,
কেসিআইএর নিছক অস্তিত্বও একটা হুমকি ছিল।	তথাকথিত 'নামসনের পরিচালকগণ
কেসিআইএ এর পরিচালকেরা ছিল পার্কের ডান হাত।	৪০ দিন পূর্বে, ওয়াশিংটন, ডি.সি.
এপর্যন্ত হওয়া তদন্ত অনুযায়ী	ইউএস কংগ্রেসের প্রত্যেক সদস্যকে  ঘুষ দেওয়ার মাধ্যমেআমেরিকায় অ্যান্টি-পার্ক স্টেটমেন্টে কেসিআইএ চুপ করাচ্ছিল।
লবিস্টের মাধ্যমে তাদের  বছরে এক মিলিয়ন ডলার পরিশোধ করত,	১৯৭০ সাল থেকে প্রতি বছর।
আজকের সাক্ষী কোরিয়াগেটের বিষয়ে একজন কেন্দ্রীয় ব্যক্তিত্ব	কোরিয়ান সেন্ট্রাল ইন্টেলিজেন্স এজেন্সি
কেসিআইএ এর প্রাক্তন পরিচালক	ইয়োং-গাক পার্ক সাহেব।
যাহা বলিবেন সত্য বলিবেন,সত্য বিনা মিথ্যা বলিবেন না,	 এই শপথ নিচ্ছেন?
যাহা বলিবেন সত্য বলিবেন,সত্য বিনা মিথ্যা বলিবেন না,	 এই শপথ নিচ্ছেন?
জ্বি, নিচ্ছি।	আপনি কি সংক্ষেপে আপনার পরিচয় এবং কেসিআইএ-তে আপনার ভূমিকার ব্যাপারে বর্ণনা করতে পারবেন?
কেসিআইএ এর প্রাক্তন পরিচালক পার্ক ইয়োং-গাক চেয়ারম্যান ফ্রেজার এবং সম্মানিত প্রতিনিধিদের	ধন্যবাদ জানাতে চাই ইন্টারন্যাশনাল অর্গানাইজেশন অব
ইন্টারন্যাশনাল রিলেশনসের উপসমিতির সাথে কথা বলার সুযোগ দানের জন্য	যে সংস্থা ঐতিহ্য ও কতৃত্ব ফরমান করে।
আমার কোরিয়ার রাজনীতিবিদ হওয়ার আর কোনো আকাঙ্ক্ষা নেই।		আমি এখানে একমাত্র আমার প্রিয় দেশের খাতিরে এসেছি,  
যেখানে মানবাধিকার হচ্ছে লঙ্ঘন আর ন্যায় খুঁজে পাওয়া দুষ্কর,এবং এর গণতন্ত্রের খাতিরে।	আমি কোরিয়ার শ্রেষ্ঠ ইন্টেলিজেন্স এজেন্সির প্রধান ছিলাম।
ক্ষমতা আমাকেও নষ্ট করেছিল,	আর যে কারণে আমি এখানে সব স্বীকার করতে এসেছি তা হলো
শীর্ষে বসে থাকা সেই মানুষটাকে অভিযুক্ত করতে  সাথে সেই জঘন্য ক্ষমতার।  	সেই মানুষটা হচ্ছে প্রেসিডেন্ট পার্ক!
উনিই সেই ব্যক্তি যিনি গনতন্ত্রকে কোরিয়াতে দুঃখজনক ঘটনায় রূপ দিয়েছেন।	প্রেসিডেন্ট ভেতরে আছেন?
দাড়ি কামাচ্ছেন, স্যার।	আমার লোকজন ওকে থামানোর চেষ্টা করেছিল কিন্তু কেসিআইএ এর পরিচালক কিম গ্যু-প্যেওং"ছাড়ো তো।
নিরাপত্তা প্রধান গয়াক সাং-ছেওন	উত্তর কোরিয়ার লিডারও ওসব বলতো না
কিন্তু আমাদের প্রাক্তন কেসিআইএ ডিরেক্টর বলেছে।	যখন পার্ক আমাদের দেশটাকে বিক্রি করছিল কী করছিলে তখন?
আর আত্মজীবনীর ব্যাপারটা?	ও মিডিয়া আর এফবিআইয়ের সামনে ফাঁস করছে।
পার্কের বিশ্বাস মনোযোগ আকর্ষণই ওর বাঁচার একমাত্র উপায়।	এই বিশ্বাসঘাতকটার কী করা যায় বলো তো?
ওকে ধরে নিয়ে এসে পিছনের বাগানে সার হিসেবে ব্যবহার করতে হবে।	আমি আমেরিকায় গিয়ে গোপনে এর ব্যবস্থা নিব।
এভাবে সামলানো যাবে?	শোনোনি ও কী বলেছে?
এজন্যই ব্যাপারটা আমাদের গোপন রাখতে হবে।	 আমেরিকা খুব কাছ থেকে এসব দেখছে।
শালার আমেরিকা গয়াক,	 তুমি যেতে পারো।
ডিরেক্টর পার্কের সাথে আমার একটু একা কথা বলা দরকার।	কোন সাহসে বললো যে, কোরিয়ায় অন্যকেউ উধাও হওয়ার আগে আমার উধাও হওয়ার উচিত!
কী করবে ওর?	প্রথমে ওর আত্মজীবনীটা ফিরিয়ে আনব।
আর না দিলে?	আমি আনবই।-
ডিরেক্টর কিম।-	জ্বি, প্রেসিডেন্ট সাহেব। 
তুমিও চাও আমি পিছনে সরে যাই? 	আমি বেশ অনেকটা সময় ধরেই এই আসন দখল করে রেখেছি, তাই না?
আমি সবসময়ই আপনার পাশে থাকব।	"১৮ সেপ্টেম্বর, ওয়াশিংটন, ডি.সি.
কেসিআইএ এজেন্ট হাম দ্যে-ইয়োং ডেবোরাহ শিম ছিল ব্রোকার।	মিস শিম?
হ্যাঁ।  	পার্ক সবাইকে বলে বেড়াচ্ছে যে আমেরিকানদের কারণে আমরা ওকে মারতে পারব না।
পার্কের পাণ্ডুলিপিটা নিয়ে আমাকে সিউলে ফিরতেই হবে।	  জ্বি, স্যার।
হায় ঈশ্বর আমি এসেছি।	তো তুমি এখন ডিরেক্টর।
জানো তো এই পদের শেষ পরিণতি কী? 	 শুনেছি গয়াক নাকি নিরাপত্তা প্রধান।
একটা উজবুকের সাথে প্রতিযোগীতা করতে অনেক বেশি চাপ নিয়েছ।	ফিরে চলো।
তুমি তো জানোই আমি কেন আশ্রয় খুঁজছিলাম।	সত্যিই এতটা রেগে আছ?
তোমারও একই দশা হবে।	বই লিখছ, হাহ?
চার্চিল সাহিত্যে নোবেল জিতেছিল।	আমি লেখালেখিতে আমার মেধা খুঁজে পেয়েছি।
পাণ্ডুলিপিটার জন্য তোমায় পুরষ্কার সরূপ টাকা দিব।	টাকা কামানোর জন্য লিখেছি?
আমি কি টাকা চাই?	পুরো দুনিয়া এমনটা ভাবলেও তোমরা ভাবতে পারো না।
আমাকে পাণ্ডুলিপিটা দিয়ে দাও।তারপর প্রেসিডেন্টের কাছে ক্ষমা প্রার্থনা করবে। 
তোমাকে দিলে, আমি আর বাঁচব না।	না দিলেই বরং মরবে।
হুমকি দিচ্ছ?	আমি কাল ফিরে যাচ্ছি।
সিদ্ধান্ত নাও।	আর কিছু দিন থাকতে। 
এত জলদি যেও না।-	তোমার কাছে কাল পর্যন্ত সময় আছে।
পার্ক অনেক বড় একটা ভুলে করেছিল যা তোমার সাহায্য ছাড়া সম্ভব ছিল না, মিস শিম।	এখানে আমিই ভুক্তভোগী।
লবিস্ট ডেবোরাহ শিম"তুমি তো জানোই 		আমি কীভাবে এখানে লবিস্ট হিসেবে কাজ করা শুরু করি।
গরীব দেশ থেকে আসার জন্য অনেক বৈষম্যতার শিকার হয়েছি। 	এখানের কেউ উত্তর আর দক্ষিণ কোরিয়ার পার্থক্যটাও বোঝে না। 
আমাদের দেশকে সেবা দিতে গিয়ে সব সহ্য করেছি।  	কিন্তু যখন কোরিয়াগেটের ব্যাপারটা বেরিয়ে এলো,
তোমরা সবাই আমাকে এড়িয়ে চলতে লাগলে,	আর এফবিআই হুমকি দিলো যে আমি যদি সাহায্য না করি ওরা আমাকে জেলে দিবে।
কী করতাম তাহলে?	তাই পার্ককে সামনে রেখে কোরিয়া বিক্রি করে দিলে?  
ভালো মেয়েরা স্বর্গে যায়	 কিন্তু খারাপ মেয়েরা যেকোনো জায়গায় যেতে পারে। 
কিন্তু আমি বাসায় ফিরতে পারব না। 	 খারাপ মেয়েরা টাকা ছাড়াও কোথাও যেতে পারে না। 
প্রাক্তন পরিচালক পার্কের জন্য এখন তুমি দায়ী।	 আমার এজেন্টকে প্রত্যেকটা তথ্য দিবে।  
দেশে তোমার পরিবার চায় তুমি যেন ওদের ফোন করো।	 হুমকি দিচ্ছ?
চারিপাশটা কি শান্তিপূর্ণ!	অনেক শান্তিপূর্ণ!
গ্যু-প্যেওং,  বিপ্লবটা কেন চেয়েছিলে?	তুমি কেন চেয়েছিলে?
তুমি চেয়েছিলে তাই। 	আমি চেয়েছিলাম?
তুমি চাওনি?	আমি?
ধুর শালা!	জানি না.এনেছ?
এসব ঠান্ডা হওয়া পর্যন্ত অপেক্ষা করো,	তারপর চুপচাপ  দেশে ফিরে আসবে।
ডিরেক্টর কিম।	জানো এটা তোমায় কেন দিচ্ছি?
আমি যদি মরিও তোমার হাতে মরব না।	চলো একটু হাটাহাটি করি।
"ইয়াগো" এর ব্যাপারে শুনেছ কখনো?	ওথেলোর ইয়াগো?
তোমার হাতে পিস্তলের চেয়ে কলম বেশি মানায়। 	কী বলতে চাচ্ছ?
প্রেসিডেন্ট পার্কের নিজেস্ব ইন্টেলিজেন্স এজেন্সি আছে, 	আর সিআইএ এর পিছনের লোকটাকে তাই বলেই ডাকে।
ইয়াগো।	আমি বলছি যে আমাদের চাইতেও ক্ষমতাধর কেউ আছে।
আমাকে কোনো বিশ্বাসযোগ্য সোর্স দাও।		সিআইএ প্রেসিডেন্টের টাকা প্রচারের ব্যাপারে তদন্ত করছিল।
 তখন ওরা জানতে পারে যে উনি কেসিআইএ এর পিঠের পেছনে	সব টাকা সুইস অ্যাকাউন্ট আর জলকাদা তহবিলে ঢালছেন।
প্রেসিডেন্ট এতে নিজেস্ব এজেন্সির উপর ভরসা করেছে,	 কেসিআইএ এর উপর না।
কে সে?	তা জানি না।
কখন থেকে? 	আমার বিশ্বাস বিপ্লবের সময় থেকেই।
বিপ্লবী সঙ্গীদের নামে!	সঙ্গীদের নামে!
আমি নিশ্চিত সে আমাদেরই একজন।	প্রসিডেন্ট শুধু তাদেরই বিশ্বাস করে যাদের ভালোমতো জানে।
আমি নিশ্চিত এটা তখন খুব বড় ব্যাপার ছিল না।	আমাদের ব্যাকগ্রাউন্ড চেক করেছিল এবং সেসব কাজ করতো যা প্রেসিডেন্ট আমাদের দিয়ে করাতে লজ্জা পেতো।  
